"통계분류(1)",통계분류(2),2014,2014,2014,2014,2014,2014,2014,2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023
"통계분류(1)",통계분류(2),1회,2회,3회,4회 이상,관람 경험 없음,전체평균,관람자평균,표본수,1회,2회,3회,4회 이상,관람 경험 없음,전체평균,표본수,1회,2회,3회,4회 이상,관람 경험 없음,전체평균,관람자평균,표본수,1회,2회,3회,4회 이상,관람 경험 없음,전체평균,관람자평균,표본수,1회,2회,3회,4회 이상,관람 경험 없음,전체평균,관람자평균,표본수,1회,2회,3회,4회 이상,관람 경험 없음,전체평균,관람자평균,표본수,1회,2회,3회,4회 이상,관람 경험 없음,전체평균,관람자평균,표본수,1회,2회,3회,4회 이상,관람자평균
"종사자지위별",고용원이 없는 자영업자,4.6,2,0.4,1.5,91.5,0.29,3.46,1591,4.2,2.3,0.5,2.3,90.6,0.37,1763,11.6,2.6,1.1,0.8,83.9,0.29,1.77,1976,10,5.7,3.6,1.1,79.7,0.4,1.96,1787,3.8,1.5,0.3,0.6,93.9,0.2,3.23,1919,0.5,0.3,0.1,0.1,99.1,0.02,2.55,1297,4.4,0.6,-,0,95,0.06,1.17,109,66,23.9,5.2,4.9,1.63
"종사자지위별",무급가족종사자,6.7,0.8,-,0.6,91.9,0.18,2.17,243,5.8,4.5,0.7,1.3,87.8,0.27,163,14,2.3,-,-,83.7,0.19,1.14,262,8.3,5,2.7,1.2,82.8,0.32,1.84,245,3.7,1.9,1,-,93.4,0.1,1.59,225,0.5,-,-,-,99.5,0,1,237,10.2,0.8,-,-,89,0.12,1.08,18,75.5,5.7,18.8,-,1.43
"종사자지위별",기타종사자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,73,24.9,1.9,3.3,0.9,68.9,0.42,1.37,6,52.3,37.6,-,10.1,1.78
"종사자지위별",해당없음(무직),8.5,3.3,0.9,2.5,84.9,0.61,4.02,4219,7.7,2.7,1.2,3.4,85,0.52,3520,15,4.5,1.5,1.5,77.5,0.39,1.72,3810,11.6,6.5,4.6,1.6,75.8,0.49,2.01,3852,4.2,1.3,0.5,0.7,93.2,0.14,2.06,3752,0.8,0.3,0.1,0.2,98.7,0.03,2.35,3536,4.9,1.5,0.3,0.4,92.8,0.12,1.63,307,64.5,25.6,4.4,5.5,1.57
"종사자지위별",임금.봉급 근로자,10.4,3.3,0.5,1.8,84,0.47,2.97,4399,7.8,3.1,1.3,3.8,84,0.6,4829,15,4.2,1,1.7,78.1,0.35,1.61,3757,11.4,7.4,3.5,2.1,75.6,0.54,2.21,3901,4.7,2,0.6,0.6,92,0.16,2.07,3859,1.1,0.4,0.1,0.2,98.3,0.03,2.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"가구소득별",100만원 미만,2.7,0.4,0.3,1.7,94.8,0.26,5.06,874,3,1.2,0.4,3,92.3,0.41,869,13,1.2,0.4,0.7,84.7,0.21,1.35,1019,9.1,4.4,3.4,1.5,81.6,0.46,2.47,929,3.3,0.8,0.3,0.8,94.8,0.31,5.89,1115,0.4,-,0.1,0,99.5,0.01,1.71,487,1.5,0.2,-,0.1,98.1,0.03,1.41,30,69.4,11,11,8.6,1.87
"가구소득별",100~200만원,7.1,1.2,0.5,1.5,89.7,0.3,2.91,1143,4.9,2.7,0.8,3.2,88.4,0.45,1204,11,2.2,1,0.3,85.5,0.21,1.43,1001,9.8,4.7,3.2,1,81.4,0.34,1.83,974,4.4,1,0.4,0.3,94,0.1,1.63,1027,0.7,0.4,-,0.1,98.8,0.02,1.97,826,1.8,0.3,0.4,0.2,97.3,0.04,1.64,38,57.2,27.5,9.9,5.3,1.74
"가구소득별",200~300만원,8.7,2,0.8,1.8,86.7,0.4,3.01,1685,5.5,2.5,1.2,4.2,86.5,0.72,1803,12.9,2.5,1.2,0.8,82.5,0.27,1.53,1722,10,6,2.9,1.8,79.3,0.45,2.17,1666,3.2,1.1,0.4,0.4,94.8,0.09,1.78,1575,0.9,0.1,0,0.2,98.8,0.03,2.51,1342,3.4,0.7,0.1,0.2,95.6,0.08,1.78,126,71,20,4.1,4.9,1.48
"가구소득별",300~400만원,9.1,2.4,0.7,2.4,85.4,0.76,5.21,2554,6.4,2,1.2,3.3,87.1,0.5,2152,13.5,3.2,0.7,1.9,80.7,0.33,1.7,2098,10.4,5.9,3.1,1.3,79.3,0.41,2,2085,3.6,1.1,0.7,0.3,94.3,0.1,1.79,1925,0.6,0.1,-,0.1,99.2,0.01,1.89,1873,4.2,1.2,0.3,0.6,93.8,0.12,1.89,125,72.1,22.4,1.8,3.7,1.55
"가구소득별",400~500만원,9.7,3.8,0.6,2.3,83.6,0.53,3.25,2224,8.9,3.5,1.3,3.8,82.6,0.57,2228,14.3,4.2,1.1,1.3,79.1,0.37,1.76,1725,10.9,7.2,4.1,1.3,76.6,0.47,1.99,1834,4.3,2.3,0.5,0.6,92.4,0.14,1.88,1602,0.8,0.2,0,0.1,98.8,0.02,1.82,1860,6.2,1.3,0.3,0.2,91.9,0.13,1.63,152,80.1,14.7,2.6,2.6,1.34
"가구소득별",500~600만원,8.7,6,0.4,1.2,83.8,0.31,1.92,1369,8.2,3.5,1.1,3.1,84,0.48,1278,19.6,4.7,1.8,2.1,71.8,0.45,1.6,1344,11.9,6.3,6,1.8,74,0.55,2.1,1872,5.1,2,0.7,1,91.2,0.2,2.31,1322,1.1,0.8,0.1,0.4,97.5,0.06,2.26,1838,6.9,1.3,0.1,0.3,91.3,0.12,1.39,185,71.8,21.9,2.3,4,1.49
"가구소득별",600만원 이상,13,6.2,0.9,2.5,77.4,0.47,2.07,867,9.4,3.9,1.1,2.2,83.3,0.43,1024,14.6,7.6,1.3,2,74.5,0.45,1.75,1193,14.7,9.3,3.7,2.9,69.3,0.65,2.12,739,6.8,2.9,0.4,1.3,88.7,0.28,2.47,1494,1.1,0.5,0.1,0.1,98.2,0.04,2.44,1913,6.9,2.4,0.4,0,90.2,0.13,1.33,354,64.7,23.1,6.1,6.1,1.66
"가구소득별",무응답,-,-,-,-,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"지역규모별",대도시,10.2,3.3,0.5,1.8,84.2,0.64,4.06,4652,8.7,3.3,0.9,1.9,85.3,0.38,4551,16.1,4.8,1.2,1.3,76.7,0.38,1.64,4345,10.5,6.1,4,1.8,77.6,0.48,2.13,4364,4.4,1.8,0.6,0.8,92.4,0.17,2.28,4328,0.8,0.3,0.1,0.2,98.7,0.03,2.26,4368,6,1.2,0.2,0.3,92.3,0.11,1.4,459,68.8,20.4,6.9,3.9,1.54
